Rank,Feature,Mean_Absolute_SHAP,Correlation,Effect_Direction,Feature_Value,SHAP_Value,Global_Rank
40,numeric__Injector_Duty_Cycle_Pct,0.0035108979110216854,,,29.01,0.008882636562420883,40
41,numeric__Engine_Size_cc,0.003509428459779355,,,2985.0,0.003227359736236674,41
42,numeric__Idle_Time_Pct,0.0034590594007164314,,,34.58,0.005018435590128189,42
43,numeric__Engine_Load_Pct,0.0033263720097324793,,,25.83,0.013533939561365938,43
44,numeric__Harsh_Event_Count_per_trip,0.002924444161975252,,,1.08,0.0014249997946481714,44
45,numeric__Blend_Switch_Frequency_per_month,0.0028566051265817784,,,0.0,0.0030998154011930425,45
46,numeric__AFR_Lambda,0.002342700303399766,,,1.01,-0.0013685692327586518,46
47,categorical__Fuel_System_Material_Compatibility_Retrofit-Upgraded,0.0017462877732040637,,,0.0,0.0004898755924415085,47
48,categorical__Climate_Region_Temperate,0.0010064296339772256,,,0.0,0.000572813443291874,48
49,categorical__Fuel_Vapor_Pressure_Class_Class 1 (Winter),0.0008804531649125776,,,1.0,-0.000875141666648085,49
50,categorical__Fuel_Vapor_Pressure_Class_Class 3,0.0007795520558717652,,,0.0,0.0003111914814369364,50
51,categorical__Climate_Region_Coastal,0.000753570090861901,,,1.0,-0.0004460534053460912,51
52,categorical__Fuel_Vapor_Pressure_Class_Class 4 (Summer),0.0007525677848628932,,,0.0,0.0007941789484815114,52
53,categorical__Vehicle_Model_SUV,0.0007241761191152024,,,0.0,0.0001215877101864636,53
54,categorical__Driving_Pattern_Mixed,0.0007239331290799352,,,0.0,-7.724666408858074e-05,54
55,categorical__Driving_Pattern_Urban,0.0006844997003476395,,,1.0,0.0008045892029049848,55
56,categorical__Vehicle_Model_Van,0.0006763599670608118,,,0.0,-0.00016820142217323863,56
57,categorical__Vehicle_Model_Car,0.0006588501529416189,,,0.0,-0.0006632410185932293,57
58,categorical__Climate_Region_Humid,0.0006121179514195065,,,0.0,0.0004566775713745241,58
59,categorical__Vehicle_Model_Truck,0.0005540014896157707,,,1.0,-9.29628817865683e-05,59
60,categorical__Climate_Region_Arid,0.0005324322433742552,,,0.0,0.0010544103647876343,60
61,categorical__Towing_Flag_True,0.0005016430752095148,,,0.0,9.062775926538319e-05,61
62,categorical__Fuel_Vapor_Pressure_Class_Class 2,0.0004643190178335074,,,0.0,8.989499865697919e-05,62
63,categorical__Towing_Flag_False,0.00041142172983369145,,,1.0,5.082407882067699e-05,63
64,categorical__Driving_Pattern_Highway,0.0003124523391615802,,,0.0,-8.482902783398648e-05,64
65,categorical__Fuel_Line_Seal_Condition_Fail,1.2550135675219218e-05,,,0.0,3.822333346193484e-06,65
66,categorical__Fuel_Line_Seal_Condition_Pass,5.535209747357755e-06,,,1.0,2.376695171255331e-06,66
