Vehicle_Index,Maintenance_Probability,Vehicle_Health_Score,Health_Status,Priority,Recommended_Action,Recommendation,Risk_Level,Priority_Rank
20660,0.9967,0.33,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
22992,0.9965,0.35,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
15672,0.9964,0.36,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
14581,0.9962,0.38,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
11289,0.9961,0.39,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
17154,0.996,0.4,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
20113,0.996,0.4,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
2510,0.9959,0.41,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
16695,0.9959,0.41,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
19047,0.9959,0.41,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
23359,0.9959,0.41,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
23478,0.9959,0.41,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
4668,0.9958,0.42,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
7023,0.9958,0.42,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
21899,0.9958,0.42,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
22800,0.9958,0.42,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
23224,0.9957,0.43,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
9691,0.9956,0.44,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
626,0.9955,0.45,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
11481,0.9955,0.45,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
15671,0.9955,0.45,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
11401,0.9954,0.46,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
2463,0.9951,0.49,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
21023,0.995,0.5,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
11395,0.9948,0.52,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
20428,0.9947,0.53,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
12280,0.9946,0.54,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
14783,0.9943,0.57,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
15218,0.9942,0.58,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
17840,0.9942,0.58,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
3375,0.9941,0.59,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
15521,0.9941,0.59,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
21195,0.9941,0.59,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
22208,0.9941,0.59,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
17180,0.994,0.6,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
7690,0.9939,0.61,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
21791,0.9939,0.61,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
22758,0.9938,0.62,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
2253,0.9936,0.64,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
3467,0.9936,0.64,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
21790,0.9934,0.66,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
2638,0.9932,0.68,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
14398,0.9932,0.68,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
14488,0.9932,0.68,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
16764,0.9932,0.68,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
14693,0.9931,0.69,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
1005,0.993,0.7,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
1898,0.9929,0.71,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
4856,0.9929,0.71,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
3305,0.9928,0.72,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
1641,0.9927,0.73,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
2387,0.9926,0.74,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
19802,0.9926,0.74,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
10901,0.9925,0.75,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
11661,0.9925,0.75,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
1219,0.9923,0.77,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
12489,0.9923,0.77,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
19559,0.9923,0.77,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
21887,0.9923,0.77,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
16251,0.9922,0.78,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
17444,0.9922,0.78,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
19390,0.9922,0.78,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
20502,0.9922,0.78,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
22450,0.9922,0.78,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
22852,0.9922,0.78,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
1505,0.9921,0.79,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
9686,0.9921,0.79,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
14876,0.9921,0.79,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
539,0.992,0.8,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
10891,0.992,0.8,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
13333,0.9919,0.81,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
20354,0.9919,0.81,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
11960,0.9918,0.82,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
21220,0.9918,0.82,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
3228,0.9917,0.83,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
5077,0.9917,0.83,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
1085,0.9916,0.84,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
2444,0.9916,0.84,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
12875,0.9916,0.84,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
1535,0.9915,0.85,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
5166,0.9915,0.85,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
17899,0.9915,0.85,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
21079,0.9915,0.85,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
788,0.9914,0.86,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
956,0.9912,0.88,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
21645,0.9912,0.88,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
12285,0.9911,0.89,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
18463,0.9911,0.89,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
6691,0.991,0.9,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
14818,0.991,0.9,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
15638,0.9909,0.91,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
18948,0.9909,0.91,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
18078,0.9908,0.92,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
12323,0.9907,0.93,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
16540,0.9906,0.94,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
19213,0.9906,0.94,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
22613,0.9905,0.95,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
10540,0.9904,0.96,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
8431,0.9903,0.97,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
11489,0.9902,0.98,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
1095,0.9901,0.99,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
16031,0.99,1.0,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
1268,0.9899,1.01,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
16075,0.9899,1.01,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
2058,0.9898,1.02,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
6697,0.9898,1.02,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
20302,0.9898,1.02,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
5702,0.9896,1.04,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
16203,0.9896,1.04,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
18926,0.9896,1.04,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
4394,0.9895,1.05,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
21337,0.9895,1.05,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
2751,0.9894,1.06,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
14682,0.9894,1.06,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
17814,0.9892,1.08,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
3470,0.9891,1.09,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
21137,0.9891,1.09,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
21388,0.9891,1.09,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
21301,0.989,1.1,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
21686,0.989,1.1,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
22345,0.989,1.1,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
10450,0.9889,1.11,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
13922,0.9889,1.11,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
16522,0.9889,1.11,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
17312,0.9889,1.11,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
9868,0.9888,1.12,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
23128,0.9888,1.12,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
4652,0.9887,1.13,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
7982,0.9887,1.13,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
9550,0.9887,1.13,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
21096,0.9887,1.13,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
6212,0.9886,1.14,Critical,URGENT,Immediate inspection and maintenance required.,"Do not delay maintenance. Perform a comprehensive vehicle inspection and address the most critical engine, fuel, sensor, and mechanical issues.",Very High,1
