Vehicle_Index,Actual_Need_Maintenance,Predicted_Need_Maintenance,Maintenance_Probability,Vehicle_Health_Score,Health_Status
69,0,0,0.2563,74.37,Good
70,0,0,0.1431,85.69,Excellent
71,1,1,0.9104,8.96,Critical
72,0,0,0.1945,80.55,Excellent
73,1,1,0.9247,7.53,Critical
74,1,1,0.7196,28.04,Poor
75,0,0,0.1313,86.87,Excellent
76,0,0,0.265,73.5,Good
77,1,1,0.8111,18.89,Critical
78,1,1,0.6894,31.06,Poor
79,1,1,0.9122,8.78,Critical
80,1,1,0.8683,13.17,Critical
81,0,0,0.192,80.8,Excellent
82,1,1,0.5296,47.04,Fair
83,0,0,0.0985,90.15,Excellent
84,0,0,0.1238,87.62,Excellent
85,0,0,0.1189,88.11,Excellent
86,0,1,0.5697,43.03,Fair
87,1,1,0.7989,20.11,Poor
88,1,1,0.5379,46.21,Fair
89,1,1,0.6719,32.81,Poor
90,1,1,0.8935,10.65,Critical
91,0,0,0.3438,65.62,Good
92,0,0,0.0752,92.48,Excellent
93,1,1,0.7423,25.77,Poor
94,0,0,0.2956,70.44,Good
95,0,0,0.2985,70.15,Good
96,1,1,0.8277,17.23,Critical
97,0,0,0.1152,88.48,Excellent
98,0,0,0.0997,90.03,Excellent
99,1,1,0.7363,26.37,Poor
100,1,1,0.7955,20.45,Poor
101,1,1,0.8105,18.95,Critical
102,1,1,0.8005,19.95,Critical
103,0,0,0.0854,91.46,Excellent
104,1,1,0.8179,18.21,Critical
105,1,1,0.8144,18.56,Critical
106,1,1,0.98,2.0,Critical
107,1,1,0.938,6.2,Critical
108,0,0,0.0571,94.29,Excellent
109,1,0,0.4521,54.79,Fair
110,0,0,0.1882,81.18,Excellent
111,1,1,0.8,20.0,Poor
112,1,1,0.8131,18.69,Critical
113,1,1,0.8588,14.12,Critical
114,0,0,0.1057,89.43,Excellent
115,1,1,0.9288,7.12,Critical
116,1,1,0.7531,24.69,Poor
117,0,0,0.113,88.7,Excellent
118,1,1,0.5892,41.08,Fair
119,1,1,0.8363,16.37,Critical
120,1,1,0.9446,5.54,Critical
121,0,0,0.1718,82.82,Excellent
122,1,1,0.7595,24.05,Poor
123,1,1,0.5654,43.46,Fair
124,1,1,0.5931,40.69,Fair
125,0,0,0.1299,87.01,Excellent
126,1,1,0.9126,8.74,Critical
127,0,0,0.0569,94.31,Excellent
128,1,1,0.6957,30.43,Poor
129,0,0,0.0789,92.11,Excellent
130,0,0,0.3295,67.05,Good
131,0,0,0.2567,74.33,Good
132,1,1,0.8776,12.24,Critical
133,0,0,0.0798,92.02,Excellent
134,0,0,0.154,84.6,Excellent
135,1,1,0.9241,7.59,Critical
136,0,0,0.165,83.5,Excellent
137,1,1,0.9841,1.59,Critical
138,0,0,0.2136,78.64,Good
139,1,1,0.8546,14.54,Critical
140,0,0,0.2434,75.66,Good
141,1,1,0.8128,18.72,Critical
142,0,0,0.2202,77.98,Good
143,1,1,0.9648,3.52,Critical
144,1,1,0.8922,10.78,Critical
145,0,0,0.0457,95.43,Excellent
146,1,1,0.8877,11.23,Critical
147,1,1,0.8497,15.03,Critical
148,0,0,0.0933,90.67,Excellent
149,0,0,0.2559,74.41,Good
150,0,0,0.1024,89.76,Excellent
151,1,1,0.8529,14.71,Critical
152,1,1,0.875,12.5,Critical
153,1,1,0.905,9.5,Critical
154,0,0,0.1252,87.48,Excellent
155,1,1,0.8836,11.64,Critical
156,0,0,0.11,89.0,Excellent
157,1,1,0.8239,17.61,Critical
158,0,0,0.0468,95.32,Excellent
159,1,1,0.8094,19.06,Critical
160,1,0,0.3496,65.04,Good
161,0,0,0.095,90.5,Excellent
162,1,1,0.9324,6.76,Critical
163,0,0,0.1081,89.19,Excellent
164,1,1,0.893,10.7,Critical
165,1,1,0.8488,15.12,Critical
166,1,1,0.9657,3.43,Critical
167,0,0,0.047,95.3,Excellent
168,1,1,0.9782,2.18,Critical
169,0,0,0.0768,92.32,Excellent
170,0,0,0.188,81.2,Excellent
171,0,0,0.0869,91.31,Excellent
172,0,1,0.5533,44.67,Fair
173,0,0,0.4955,50.45,Fair
174,1,0,0.4167,58.33,Fair
175,0,0,0.2355,76.45,Good
176,0,0,0.0913,90.87,Excellent
177,1,1,0.9661,3.39,Critical
178,0,0,0.1673,83.27,Excellent
179,1,1,0.7243,27.57,Poor
180,1,1,0.971,2.9,Critical
181,1,1,0.7454,25.46,Poor
182,1,1,0.6681,33.19,Poor
183,1,1,0.8342,16.58,Critical
184,1,1,0.87,13.0,Critical
185,0,0,0.0903,90.97,Excellent
186,1,1,0.5026,49.74,Fair
187,1,1,0.8119,18.81,Critical
188,1,1,0.9215,7.85,Critical
189,1,1,0.6281,37.19,Poor
190,1,1,0.8114,18.86,Critical
191,0,0,0.1486,85.14,Excellent
192,0,0,0.1278,87.22,Excellent
193,0,0,0.3486,65.14,Good
194,1,1,0.9051,9.49,Critical
195,0,0,0.3221,67.79,Good
196,1,1,0.9304,6.96,Critical
197,0,0,0.2512,74.88,Good
198,1,1,0.867,13.3,Critical
199,1,1,0.8763,12.37,Critical
200,1,1,0.958,4.2,Critical
201,0,0,0.1666,83.34,Excellent
202,1,1,0.9436,5.64,Critical
203,1,1,0.8981,10.19,Critical
204,0,0,0.0816,91.84,Excellent
205,1,1,0.7625,23.75,Poor
206,0,0,0.0823,91.77,Excellent
207,1,1,0.8796,12.04,Critical
208,0,0,0.179,82.1,Excellent
209,1,1,0.9133,8.67,Critical
210,1,1,0.9377,6.23,Critical
211,0,0,0.3249,67.51,Good
212,0,0,0.1143,88.57,Excellent
213,0,0,0.0758,92.42,Excellent
214,1,1,0.8737,12.63,Critical
215,0,0,0.2255,77.45,Good
216,1,1,0.8322,16.78,Critical
217,1,0,0.4516,54.84,Fair
218,1,1,0.8075,19.25,Critical
219,1,1,0.6884,31.16,Poor
220,0,0,0.0363,96.37,Excellent
221,0,0,0.0936,90.64,Excellent
222,1,1,0.8941,10.59,Critical
223,1,1,0.8879,11.21,Critical
224,1,1,0.7702,22.98,Poor
225,0,0,0.1097,89.03,Excellent
226,1,1,0.5829,41.71,Fair
227,1,1,0.9382,6.18,Critical
228,0,0,0.1171,88.29,Excellent
229,0,0,0.1167,88.33,Excellent
230,1,1,0.8185,18.15,Critical
231,0,0,0.0891,91.09,Excellent
232,0,0,0.2154,78.46,Good
233,1,0,0.4988,50.12,Fair
234,0,0,0.1653,83.47,Excellent
235,1,1,0.7304,26.96,Poor
236,0,0,0.1867,81.33,Excellent
237,1,1,0.9214,7.86,Critical
238,0,0,0.1552,84.48,Excellent
239,1,1,0.9459,5.41,Critical
240,0,0,0.2023,79.77,Good
241,1,1,0.9883,1.17,Critical
242,1,1,0.8126,18.74,Critical
243,1,1,0.7193,28.07,Poor
244,0,0,0.032,96.8,Excellent
245,0,0,0.1334,86.66,Excellent
246,0,0,0.1972,80.28,Excellent
247,1,1,0.6952,30.48,Poor
248,1,1,0.6322,36.78,Poor
249,0,0,0.0907,90.93,Excellent
250,0,0,0.1022,89.78,Excellent
251,0,0,0.1476,85.24,Excellent
252,0,0,0.1709,82.91,Excellent
253,1,1,0.9673,3.27,Critical
254,1,1,0.961,3.9,Critical
255,1,1,0.7278,27.22,Poor
256,1,1,0.643,35.7,Poor
257,1,1,0.8919,10.81,Critical
258,1,1,0.7392,26.08,Poor
259,0,0,0.1561,84.39,Excellent
260,1,1,0.7479,25.21,Poor
261,0,0,0.1162,88.38,Excellent
262,0,0,0.1756,82.44,Excellent
263,1,1,0.9101,8.99,Critical
264,0,0,0.0436,95.64,Excellent
265,0,0,0.1809,81.91,Excellent
266,0,0,0.1084,89.16,Excellent
267,1,1,0.5885,41.15,Fair
268,1,1,0.8198,18.02,Critical
269,1,1,0.9776,2.24,Critical
270,0,0,0.1675,83.25,Excellent
271,0,0,0.2247,77.53,Good
272,0,0,0.2196,78.04,Good
273,1,1,0.8485,15.15,Critical
274,1,1,0.6204,37.96,Poor
275,0,0,0.1152,88.48,Excellent
276,1,1,0.6744,32.56,Poor
277,1,1,0.8993,10.07,Critical
278,1,1,0.8734,12.66,Critical
279,0,0,0.4032,59.68,Fair
280,1,1,0.8392,16.08,Critical
281,1,1,0.8797,12.03,Critical
282,0,0,0.1494,85.06,Excellent
283,1,1,0.8881,11.19,Critical
284,0,0,0.2311,76.89,Good
285,1,1,0.8679,13.21,Critical
286,0,0,0.1797,82.03,Excellent
287,0,0,0.1834,81.66,Excellent
288,1,1,0.9631,3.69,Critical
289,1,1,0.7866,21.34,Poor
290,1,1,0.8202,17.98,Critical
291,1,1,0.9142,8.58,Critical
292,1,1,0.9419,5.81,Critical
293,1,1,0.8419,15.81,Critical
294,1,1,0.7975,20.25,Poor
295,1,1,0.8563,14.37,Critical
296,0,0,0.0566,94.34,Excellent
297,0,0,0.0919,90.81,Excellent
298,1,1,0.7403,25.97,Poor
299,1,1,0.9106,8.94,Critical
300,1,1,0.9808,1.92,Critical
301,0,0,0.2669,73.31,Good
302,0,0,0.3791,62.09,Good
303,0,0,0.0454,95.46,Excellent
304,0,0,0.0711,92.89,Excellent
305,1,1,0.9374,6.26,Critical
306,1,1,0.8659,13.41,Critical
307,1,1,0.6687,33.13,Poor
308,1,1,0.7861,21.39,Poor
309,0,0,0.1855,81.45,Excellent
310,0,0,0.1348,86.52,Excellent
311,0,0,0.1579,84.21,Excellent
312,0,0,0.2797,72.03,Good
313,1,1,0.9759,2.41,Critical
314,0,0,0.0483,95.17,Excellent
315,0,0,0.1315,86.85,Excellent
316,1,1,0.7457,25.43,Poor
317,0,0,0.1518,84.82,Excellent
318,0,0,0.1158,88.42,Excellent
319,1,1,0.9758,2.42,Critical
320,1,1,0.8555,14.45,Critical
321,1,1,0.7449,25.51,Poor
322,0,0,0.1187,88.13,Excellent
323,1,1,0.8742,12.58,Critical
324,1,1,0.7218,27.82,Poor
325,0,0,0.0936,90.64,Excellent
326,0,0,0.1532,84.68,Excellent
327,1,1,0.9502,4.98,Critical
328,0,0,0.133,86.7,Excellent
329,0,0,0.076,92.4,Excellent
330,0,0,0.0661,93.39,Excellent
331,0,0,0.0445,95.55,Excellent
332,1,1,0.8969,10.31,Critical
333,1,1,0.9279,7.21,Critical
334,1,1,0.7629,23.71,Poor
335,0,0,0.19,81.0,Excellent
336,1,1,0.8785,12.15,Critical
337,1,1,0.8231,17.69,Critical
338,0,0,0.1319,86.81,Excellent
339,1,1,0.9351,6.49,Critical
340,1,1,0.9132,8.68,Critical
341,1,1,0.8477,15.23,Critical
342,0,0,0.0802,91.98,Excellent
343,1,1,0.9286,7.14,Critical
344,0,0,0.1171,88.29,Excellent
345,0,0,0.2356,76.44,Good
346,0,0,0.333,66.7,Good
347,1,1,0.7247,27.53,Poor
348,1,1,0.9657,3.43,Critical
349,1,1,0.9104,8.96,Critical
350,1,1,0.8767,12.33,Critical
351,0,0,0.0957,90.43,Excellent
352,0,0,0.1693,83.07,Excellent
353,1,1,0.9585,4.15,Critical
354,0,0,0.111,88.9,Excellent
355,1,1,0.8859,11.41,Critical
356,0,0,0.289,71.1,Good
357,0,0,0.1098,89.02,Excellent
358,1,1,0.9605,3.95,Critical
359,1,1,0.904,9.6,Critical
360,0,0,0.2341,76.59,Good
361,0,0,0.1687,83.13,Excellent
362,1,1,0.81,19.0,Critical
363,1,1,0.9666,3.34,Critical
364,0,0,0.1187,88.13,Excellent
365,1,1,0.9267,7.33,Critical
366,1,1,0.7326,26.74,Poor
367,0,0,0.2016,79.84,Good
368,0,0,0.1832,81.68,Excellent
369,0,0,0.0844,91.56,Excellent
370,1,1,0.9653,3.47,Critical
371,1,1,0.7586,24.14,Poor
372,0,0,0.1495,85.05,Excellent
373,1,1,0.9348,6.52,Critical
374,1,1,0.6453,35.47,Poor
375,1,1,0.6883,31.17,Poor
376,0,0,0.1318,86.82,Excellent
377,1,1,0.8485,15.15,Critical
378,1,1,0.8682,13.18,Critical
379,1,1,0.8903,10.97,Critical
380,1,1,0.8163,18.37,Critical
381,0,0,0.1095,89.05,Excellent
382,0,0,0.0536,94.64,Excellent
383,1,1,0.6901,30.99,Poor
384,1,1,0.9429,5.71,Critical
385,1,1,0.9261,7.39,Critical
386,1,1,0.9399,6.01,Critical
387,0,0,0.115,88.5,Excellent
388,0,0,0.1014,89.86,Excellent
389,1,1,0.5619,43.81,Fair
390,1,1,0.895,10.5,Critical
391,0,0,0.2284,77.16,Good
392,0,0,0.2808,71.92,Good
393,1,1,0.961,3.9,Critical
394,1,1,0.9423,5.77,Critical
395,1,1,0.9406,5.94,Critical
396,1,1,0.7133,28.67,Poor
397,0,0,0.244,75.6,Good
398,0,0,0.2832,71.68,Good
399,0,0,0.2663,73.37,Good
400,1,1,0.8006,19.94,Critical
401,0,0,0.267,73.3,Good
402,1,1,0.7152,28.48,Poor
403,1,1,0.7813,21.87,Poor
404,0,0,0.176,82.4,Excellent
405,1,1,0.9109,8.91,Critical
406,1,1,0.961,3.9,Critical
407,0,0,0.2265,77.35,Good
408,0,0,0.0708,92.92,Excellent
409,0,0,0.0703,92.97,Excellent
410,1,1,0.8317,16.83,Critical
411,1,1,0.8502,14.98,Critical
412,0,0,0.0854,91.46,Excellent
413,0,0,0.1834,81.66,Excellent
414,1,1,0.859,14.1,Critical
415,1,1,0.7293,27.07,Poor
416,1,1,0.5416,45.84,Fair
417,0,0,0.1335,86.65,Excellent
418,1,1,0.748,25.2,Poor
419,1,1,0.9182,8.18,Critical
420,1,1,0.7824,21.76,Poor
421,1,1,0.9447,5.53,Critical
422,0,0,0.0536,94.64,Excellent
423,1,1,0.9265,7.35,Critical
424,1,1,0.9339,6.61,Critical
425,1,1,0.9662,3.38,Critical
426,0,0,0.1143,88.57,Excellent
427,1,1,0.8814,11.86,Critical
428,1,1,0.844,15.6,Critical
429,0,0,0.1377,86.23,Excellent
430,1,1,0.9853,1.47,Critical
431,1,1,0.8592,14.08,Critical
432,1,1,0.958,4.2,Critical
433,0,0,0.1078,89.22,Excellent
434,1,1,0.9336,6.64,Critical
435,0,0,0.0952,90.48,Excellent
436,0,0,0.3711,62.89,Good
437,1,1,0.9019,9.81,Critical
438,1,1,0.7937,20.63,Poor
439,0,0,0.1208,87.92,Excellent
440,1,1,0.6696,33.04,Poor
441,1,1,0.6997,30.03,Poor
442,0,0,0.1885,81.15,Excellent
443,0,0,0.0554,94.46,Excellent
444,0,0,0.2209,77.91,Good
445,1,1,0.9447,5.53,Critical
446,1,1,0.7773,22.27,Poor
447,1,1,0.817,18.3,Critical
448,1,1,0.8281,17.19,Critical
449,1,1,0.8801,11.99,Critical
450,1,1,0.8768,12.32,Critical
451,1,1,0.5674,43.26,Fair
452,1,1,0.7471,25.29,Poor
453,0,0,0.0656,93.44,Excellent
454,1,1,0.7638,23.62,Poor
455,1,0,0.4063,59.37,Fair
456,1,1,0.9588,4.12,Critical
457,1,1,0.938,6.2,Critical
458,0,0,0.425,57.5,Fair
459,1,1,0.5337,46.63,Fair
460,1,1,0.8314,16.86,Critical
461,0,0,0.1523,84.77,Excellent
462,0,0,0.1529,84.71,Excellent
463,0,0,0.0585,94.15,Excellent
464,1,1,0.893,10.7,Critical
465,0,0,0.2048,79.52,Good
466,0,0,0.0652,93.48,Excellent
467,1,1,0.8895,11.05,Critical
468,0,0,0.1351,86.49,Excellent
469,0,0,0.2092,79.08,Good
470,1,1,0.9779,2.21,Critical
471,1,1,0.9315,6.85,Critical
472,1,1,0.8403,15.97,Critical
473,0,0,0.1336,86.64,Excellent
474,0,0,0.1593,84.07,Excellent
475,0,0,0.0787,92.13,Excellent
476,0,0,0.4149,58.51,Fair
477,0,0,0.2898,71.02,Good
478,0,0,0.1812,81.88,Excellent
479,0,0,0.0496,95.04,Excellent
480,0,0,0.2751,72.49,Good
481,0,0,0.042,95.8,Excellent
482,1,1,0.8788,12.12,Critical
483,1,1,0.8663,13.37,Critical
484,0,0,0.1014,89.86,Excellent
485,1,1,0.7867,21.33,Poor
486,1,1,0.7777,22.23,Poor
487,1,1,0.5936,40.64,Fair
488,0,0,0.2785,72.15,Good
489,1,1,0.5987,40.13,Fair
490,1,1,0.9607,3.93,Critical
491,1,1,0.7319,26.81,Poor
492,1,1,0.835,16.5,Critical
493,1,1,0.7355,26.45,Poor
494,0,0,0.2767,72.33,Good
495,1,1,0.8432,15.68,Critical
496,0,0,0.2029,79.71,Good
497,0,0,0.1497,85.03,Excellent
498,1,1,0.8836,11.64,Critical
499,0,0,0.2164,78.36,Good
500,1,1,0.7944,20.56,Poor
501,1,1,0.9023,9.77,Critical
502,1,1,0.9115,8.85,Critical
503,1,1,0.5547,44.53,Fair
504,1,1,0.8005,19.95,Critical
505,1,1,0.9106,8.94,Critical
506,1,1,0.7942,20.58,Poor
507,1,1,0.5405,45.95,Fair
508,0,0,0.1444,85.56,Excellent
509,1,1,0.9441,5.59,Critical
510,0,0,0.1361,86.39,Excellent
511,0,0,0.1681,83.19,Excellent
512,0,1,0.5356,46.44,Fair
513,1,1,0.7466,25.34,Poor
514,0,0,0.1529,84.71,Excellent
515,1,1,0.949,5.1,Critical
516,1,1,0.738,26.2,Poor
517,0,0,0.1784,82.16,Excellent
518,0,0,0.0833,91.67,Excellent
519,0,0,0.0462,95.38,Excellent
520,0,0,0.1727,82.73,Excellent
521,0,0,0.0411,95.89,Excellent
522,0,0,0.1661,83.39,Excellent
523,1,1,0.9496,5.04,Critical
524,0,0,0.1738,82.62,Excellent
525,0,0,0.0773,92.27,Excellent
526,1,1,0.9867,1.33,Critical
527,1,1,0.6026,39.74,Poor
528,0,0,0.1303,86.97,Excellent
529,1,1,0.9395,6.05,Critical
530,0,0,0.086,91.4,Excellent
531,0,0,0.1402,85.98,Excellent
532,1,1,0.776,22.4,Poor
533,0,0,0.0882,91.18,Excellent
534,0,0,0.1713,82.87,Excellent
535,1,1,0.8742,12.58,Critical
536,0,0,0.1097,89.03,Excellent
537,1,1,0.9482,5.18,Critical
538,0,0,0.3161,68.39,Good
539,1,1,0.992,0.8,Critical
540,0,0,0.1003,89.97,Excellent
541,1,1,0.7715,22.85,Poor
542,0,0,0.1201,87.99,Excellent
543,1,1,0.7907,20.93,Poor
544,1,1,0.7804,21.96,Poor
545,0,0,0.0737,92.63,Excellent
546,0,0,0.336,66.4,Good
547,0,0,0.1823,81.77,Excellent
548,0,0,0.228,77.2,Good
549,0,0,0.126,87.4,Excellent
550,1,1,0.9555,4.45,Critical
551,1,1,0.9314,6.86,Critical
552,0,0,0.2951,70.49,Good
553,0,0,0.0729,92.71,Excellent
554,0,0,0.2803,71.97,Good
555,1,1,0.9036,9.64,Critical
556,0,0,0.3002,69.98,Good
557,0,0,0.2106,78.94,Good
558,0,0,0.172,82.8,Excellent
559,1,1,0.8562,14.38,Critical
560,0,0,0.2411,75.89,Good
561,0,0,0.4626,53.74,Fair
562,1,1,0.6269,37.31,Poor
563,1,1,0.6787,32.13,Poor
564,1,1,0.9375,6.25,Critical
565,0,0,0.1292,87.08,Excellent
566,0,0,0.1826,81.74,Excellent
567,0,0,0.1807,81.93,Excellent
568,0,0,0.1879,81.21,Excellent
569,1,1,0.6683,33.17,Poor
570,0,0,0.1264,87.36,Excellent
571,0,0,0.1483,85.17,Excellent
572,1,1,0.8414,15.86,Critical
573,1,1,0.5993,40.07,Fair
574,1,1,0.7728,22.72,Poor
575,0,0,0.0996,90.04,Excellent
576,0,0,0.1023,89.77,Excellent
577,1,1,0.9552,4.48,Critical
578,0,0,0.1423,85.77,Excellent
579,0,0,0.1736,82.64,Excellent
580,1,1,0.891,10.9,Critical
581,0,0,0.1533,84.67,Excellent
582,0,0,0.0909,90.91,Excellent
583,0,0,0.0665,93.35,Excellent
584,1,1,0.9585,4.15,Critical
585,0,0,0.0608,93.92,Excellent
586,1,1,0.8797,12.03,Critical
587,0,0,0.1857,81.43,Excellent
588,0,0,0.1813,81.87,Excellent
589,1,1,0.8352,16.48,Critical
590,0,0,0.2644,73.56,Good
591,1,1,0.6005,39.95,Poor
592,1,1,0.9318,6.82,Critical
593,1,1,0.7676,23.24,Poor
594,0,0,0.1792,82.08,Excellent
595,1,1,0.9858,1.42,Critical
596,0,0,0.3483,65.17,Good
597,0,0,0.0854,91.46,Excellent
598,1,1,0.9083,9.17,Critical
599,0,0,0.0647,93.53,Excellent
600,1,1,0.9061,9.39,Critical
601,1,1,0.9532,4.68,Critical
602,1,1,0.8797,12.03,Critical
603,0,0,0.4116,58.84,Fair
604,1,1,0.8396,16.04,Critical
605,0,1,0.585,41.5,Fair
606,0,0,0.0915,90.85,Excellent
607,1,1,0.9593,4.07,Critical
608,1,1,0.8626,13.74,Critical
609,0,0,0.4615,53.85,Fair
610,0,0,0.1762,82.38,Excellent
611,1,1,0.8557,14.43,Critical
612,0,0,0.0631,93.69,Excellent
613,0,0,0.3903,60.97,Good
614,0,0,0.1099,89.01,Excellent
615,0,0,0.0593,94.07,Excellent
616,1,1,0.8445,15.55,Critical
617,1,1,0.8227,17.73,Critical
618,1,1,0.614,38.6,Poor
619,1,1,0.9402,5.98,Critical
620,0,0,0.1252,87.48,Excellent
621,0,0,0.3527,64.73,Good
622,1,1,0.7769,22.31,Poor
623,1,1,0.9627,3.73,Critical
624,0,0,0.0896,91.04,Excellent
625,0,0,0.1757,82.43,Excellent
626,1,1,0.9955,0.45,Critical
627,0,0,0.409,59.1,Fair
628,1,1,0.7565,24.35,Poor
629,0,0,0.1079,89.21,Excellent
630,1,1,0.8066,19.34,Critical
631,1,1,0.7911,20.89,Poor
632,0,0,0.1505,84.95,Excellent
633,0,0,0.0335,96.65,Excellent
634,0,0,0.0725,92.75,Excellent
635,1,1,0.9099,9.01,Critical
636,0,0,0.0472,95.28,Excellent
637,0,0,0.1043,89.57,Excellent
638,0,0,0.1706,82.94,Excellent
639,0,0,0.0782,92.18,Excellent
640,1,1,0.9258,7.42,Critical
641,0,0,0.1263,87.37,Excellent
642,1,1,0.5873,41.27,Fair
643,0,0,0.1106,88.94,Excellent
644,1,1,0.6814,31.86,Poor
645,0,0,0.4338,56.62,Fair
646,1,1,0.8854,11.46,Critical
647,1,1,0.9399,6.01,Critical
648,1,1,0.723,27.7,Poor
649,0,0,0.2513,74.87,Good
650,0,0,0.0542,94.58,Excellent
651,0,0,0.1438,85.62,Excellent
652,0,0,0.1932,80.68,Excellent
653,0,0,0.1028,89.72,Excellent
654,1,1,0.9724,2.76,Critical
655,1,1,0.7594,24.06,Poor
656,0,0,0.1859,81.41,Excellent
657,1,1,0.8587,14.13,Critical
658,0,0,0.1154,88.46,Excellent
659,0,0,0.2112,78.88,Good
660,0,0,0.1179,88.21,Excellent
661,0,0,0.0994,90.06,Excellent
662,0,0,0.3819,61.81,Good
663,0,0,0.1354,86.46,Excellent
664,0,0,0.1375,86.25,Excellent
665,1,1,0.7985,20.15,Poor
666,1,1,0.9158,8.42,Critical
667,0,0,0.1278,87.22,Excellent
668,0,0,0.0813,91.87,Excellent
669,0,0,0.0414,95.86,Excellent
670,1,1,0.911,8.9,Critical
671,1,1,0.8564,14.36,Critical
672,0,0,0.2856,71.44,Good
673,0,0,0.1196,88.04,Excellent
674,0,0,0.057,94.3,Excellent
675,1,1,0.8699,13.01,Critical
676,0,0,0.0275,97.25,Excellent
677,1,1,0.9235,7.65,Critical
678,0,0,0.0868,91.32,Excellent
679,1,1,0.7001,29.99,Poor
680,1,1,0.646,35.4,Poor
681,1,1,0.6758,32.42,Poor
682,0,0,0.2401,75.99,Good
683,1,1,0.9089,9.11,Critical
684,1,1,0.7238,27.62,Poor
685,0,0,0.2507,74.93,Good
686,0,0,0.1444,85.56,Excellent
687,0,0,0.094,90.6,Excellent
688,0,0,0.2842,71.58,Good
689,0,0,0.0985,90.15,Excellent
690,1,1,0.8241,17.59,Critical
691,0,0,0.1182,88.18,Excellent
692,1,1,0.7521,24.79,Poor
693,1,1,0.8518,14.82,Critical
694,0,0,0.2644,73.56,Good
695,0,0,0.2437,75.63,Good
696,0,0,0.114,88.6,Excellent
697,1,1,0.8332,16.68,Critical
698,1,1,0.9217,7.83,Critical
699,1,1,0.911,8.9,Critical
700,1,1,0.9373,6.27,Critical
701,1,1,0.8645,13.55,Critical
702,0,0,0.3886,61.14,Good
703,1,1,0.8334,16.66,Critical
704,0,0,0.0811,91.89,Excellent
705,1,1,0.9409,5.91,Critical
706,0,0,0.3999,60.01,Good
707,0,0,0.1758,82.42,Excellent
708,1,1,0.575,42.5,Fair
709,1,1,0.7569,24.31,Poor
710,1,1,0.8646,13.54,Critical
711,0,0,0.3216,67.84,Good
712,1,1,0.8247,17.53,Critical
713,0,0,0.3105,68.95,Good
714,0,0,0.0774,92.26,Excellent
715,0,0,0.2005,79.95,Good
716,1,1,0.7826,21.74,Poor
717,1,1,0.7113,28.87,Poor
718,0,1,0.66,34.0,Poor
719,0,0,0.0963,90.37,Excellent
720,0,0,0.0679,93.21,Excellent
721,1,1,0.7825,21.75,Poor
722,0,0,0.2393,76.07,Good
723,1,1,0.852,14.8,Critical
724,1,1,0.8933,10.67,Critical
